int_rate,annual_inc,loan_amnt,defaulted
10.65,24000.0,5000.0,0
15.99,65000.0,6500.0,0
15.99,58310.0,20975.0,1
12.39,120000.0,18000.0,1
8.67,189000.0,35000.0,0
15.59,35000.0,8000.0,0
6.49,110000.0,7000.0,1
23.99,101000.0,3175.0,0
12.39,85000.0,1000.0,0
11.44,110000.0,21000.0,1
17.86,57000.0,20475.0,1
14.99,64000.0,16000.0,1
14.31,87000.0,20000.0,1
11.99,29000.0,7000.0,0
17.14,54496.0,27150.0,1
11.44,150000.0,20000.0,1
8.67,56000.0,3100.0,1
11.44,78000.0,15000.0,1
14.99,100000.0,35000.0,1
15.59,91000.0,15000.0,1
8.19,62000.0,12600.0,1
14.99,67000.0,20000.0,1
14.99,93200.0,18000.0,1
15.59,71813.0,27200.0,1
12.39,52000.0,20750.0,1
14.99,140000.0,22400.0,1
7.49,67860.0,16000.0,0
17.14,15531.0,7750.0,0
17.14,75000.0,17425.0,1
24.99,105000.0,14975.0,1
6.49,85000.0,14000.0,1
11.99,65000.0,5000.0,0
7.49,120000.0,15000.0,1
6.99,126000.0,5000.0,1
15.59,92400.0,20000.0,1
17.14,31753.0,12700.0,0
11.44,65000.0,12000.0,0
7.49,80000.0,8000.0,1
11.99,60000.0,10000.0,0
12.39,59300.0,7000.0,1
12.39,73500.0,3000.0,0
9.49,52000.0,20800.0,0
11.44,55500.0,13200.0,0
12.39,74276.8,9000.0,0
15.59,142000.0,35000.0,1
11.44,67267.2,18000.0,1
15.99,101000.0,3500.0,0
14.31,39400.0,9600.0,0
11.99,110000.0,10000.0,1
17.14,29000.0,9800.0,0
11.99,92250.0,8000.0,0
6.99,130000.0,20000.0,1
17.14,37500.0,13000.0,0
15.99,60000.0,19725.0,1
15.59,33000.0,4675.0,0
10.49,105000.0,9750.0,1
12.99,25000.0,4800.0,0
13.66,60000.0,10000.0,0
18.54,90000.0,21000.0,1
14.31,53000.0,2500.0,0
19.24,134000.0,19475.0,1
8.19,46500.0,11500.0,0
16.49,82500.0,10375.0,1
11.44,52384.0,15000.0,0
15.59,60000.0,9100.0,0
6.99,97000.0,33000.0,1
12.99,53000.0,10400.0,0
24.5,110000.0,35000.0,1
10.49,88000.0,6500.0,0
10.49,100000.0,21000.0,1
6.03,62000.0,6600.0,0
15.59,30000.0,8325.0,0
15.59,100000.0,14600.0,1
12.39,35000.0,12000.0,0
24.5,98000.0,35000.0,1
17.86,59000.0,12000.0,1
15.59,46100.0,10000.0,1
6.49,75000.0,11000.0,1
8.67,65000.0,6300.0,0
6.99,111000.0,15000.0,1
12.99,85000.0,24000.0,1
8.67,80000.0,28000.0,1
11.99,209540.0,34000.0,0
12.39,60523.0,16000.0,1
13.66,54000.0,2400.0,0
7.49,41000.0,7500.0,0
14.31,50000.0,18000.0,0
17.14,120000.0,14000.0,1
19.99,47500.0,13675.0,0
6.49,100000.0,12400.0,1
14.99,48321.0,8000.0,1
6.49,40000.0,4000.0,0
12.39,60000.0,19125.0,1
16.49,60000.0,8875.0,0
8.19,160000.0,21000.0,0
14.99,73000.0,15000.0,1
13.66,82800.0,10000.0,1
15.99,45000.0,19750.0,1
10.49,242977.0,24000.0,0
11.99,52000.0,11000.0,0
10.49,85000.0,24000.0,1
13.66,92000.0,21000.0,1
23.99,68000.0,24925.0,1
11.99,105000.0,24000.0,1
9.49,82000.0,24000.0,1
15.99,75000.0,6000.0,1
7.49,208242.0,15000.0,0
19.99,76000.0,25000.0,1
10.49,85000.0,15000.0,1
14.99,78000.0,14000.0,1
12.39,36000.0,3000.0,0
12.39,38000.0,5000.0,0
9.49,139000.0,34000.0,1
9.49,47000.0,4000.0,0
22.99,38700.0,13100.0,0
12.39,40400.0,14000.0,0
7.49,223477.0,35000.0,1
11.99,49920.0,12000.0,0
14.31,55000.0,5000.0,0
8.19,160000.0,6000.0,0
19.99,126000.0,35000.0,1
12.39,107000.0,24000.0,1
6.49,60000.0,6000.0,0
14.31,39000.0,8000.0,0
21.99,52600.0,7000.0,1
11.44,58000.0,5000.0,0
9.49,57000.0,10500.0,0
13.66,32000.0,10800.0,0
8.19,60000.0,12000.0,0
11.99,110000.0,4200.0,0
18.54,49000.0,10575.0,0
14.31,50000.0,15000.0,0
8.19,36000.0,5400.0,0
15.59,33000.0,10000.0,0
15.59,54000.0,11200.0,0
9.49,60000.0,13000.0,0
6.49,46800.0,12000.0,1
21.99,150000.0,30000.0,1
10.49,75000.0,20000.0,1
8.19,43000.0,10000.0,1
11.44,62000.0,20000.0,1
17.86,38880.0,17775.0,0
25.99,66000.0,15850.0,1
11.44,51000.0,6000.0,0
12.99,90000.0,16000.0,1
6.49,91000.0,18500.0,1
19.99,32000.0,12050.0,0
19.99,41000.0,11975.0,0
7.49,80000.0,8400.0,0
7.49,48500.0,6000.0,0
10.49,90000.0,3000.0,0
12.99,48000.0,5500.0,0
10.49,47268.0,15000.0,1
12.39,102000.0,16000.0,1
15.59,90000.0,7000.0,0
18.54,209716.0,32000.0,0
12.99,42000.0,5400.0,0
13.66,50000.0,6150.0,0
7.49,57000.0,10000.0,1
15.99,76000.0,24000.0,1
8.19,28000.0,6000.0,0
6.03,103000.0,18000.0,1
9.49,55000.0,12000.0,0
8.67,95000.0,1400.0,0
8.19,112000.0,10000.0,0
8.19,43200.0,4800.0,0
15.59,40000.0,3500.0,0
11.44,247646.0,7500.0,0
14.99,83775.0,10000.0,1
6.03,90000.0,6500.0,0
8.19,86500.0,15000.0,1
15.99,70000.0,17000.0,1
21.99,135000.0,25000.0,1
16.49,70000.0,15000.0,1
18.54,50000.0,1100.0,0
8.19,31000.0,2000.0,0
13.66,43000.0,12000.0,0
10.49,78000.0,24000.0,1
15.59,95326.0,26200.0,1
9.49,60000.0,7000.0,0
16.49,50000.0,3600.0,0
12.99,42000.0,11000.0,0
12.39,62000.0,20000.0,1
14.99,44000.0,18000.0,1
11.99,60000.0,8000.0,0
20.99,87646.0,25000.0,1
11.99,57000.0,3000.0,0
12.39,30000.0,5000.0,0
11.44,80000.0,3600.0,0
12.39,60000.0,10800.0,1
7.49,35000.0,12500.0,0
10.49,100000.0,12500.0,1
6.49,101000.0,25000.0,1
14.31,40800.0,15000.0,0
16.49,14400.0,3500.0,0
15.59,54000.0,9325.0,0
11.44,188000.0,30375.0,0
7.49,48000.0,3600.0,0
14.99,118040.0,7000.0,1
8.19,55000.0,10800.0,0
11.99,75000.0,16000.0,1
7.49,60000.0,7200.0,0
25.8,138000.0,35000.0,1
17.86,70000.0,24000.0,1
15.99,87000.0,8500.0,1
7.49,95000.0,28000.0,1
10.49,135000.0,20400.0,1
14.99,29973.0,14900.0,0
11.99,51933.84,10000.0,0
13.66,65000.0,8000.0,0
9.49,60000.0,15000.0,0
15.99,105000.0,35000.0,1
18.54,69000.0,11925.0,0
8.19,160000.0,20000.0,0
9.49,105000.0,7800.0,0
9.49,95000.0,2000.0,0
17.86,28000.0,1000.0,0
6.99,115000.0,30000.0,1
17.86,55000.0,4625.0,0
11.44,65900.0,7200.0,0
11.44,135000.0,10800.0,1
6.99,52400.0,10000.0,0
18.54,33000.0,14500.0,0
8.67,95000.0,20000.0,1
12.99,140000.0,6000.0,1
7.49,223531.0,15000.0,0
8.19,82000.0,25000.0,1
17.86,39000.0,7350.0,0
14.31,60000.0,16000.0,1
13.66,65000.0,2500.0,0
8.19,76000.0,12000.0,0
11.99,98000.0,25000.0,1
11.99,120000.0,13000.0,1
21.99,70000.0,11200.0,0
17.86,73000.0,24500.0,1
10.49,84000.0,13000.0,1
14.31,95000.0,20000.0,1
21.99,74000.0,5525.0,0
25.89,45000.0,12000.0,1
13.66,45000.0,18000.0,0
16.49,50000.0,4000.0,0
11.99,105000.0,10000.0,1
13.66,98000.0,5000.0,0
19.99,37000.0,9550.0,0
14.31,77000.0,35000.0,1
12.99,60000.0,12000.0,0
11.99,53000.0,7200.0,0
10.49,55000.0,10000.0,0
7.49,52000.0,15000.0,0
17.86,100000.0,3500.0,0
11.44,35000.0,5000.0,0
11.44,40000.0,3500.0,0
14.99,57000.0,15025.0,1
12.39,68000.0,3000.0,0
19.99,42000.0,12600.0,0
12.99,60000.0,10000.0,0
15.99,41000.0,5000.0,0
11.99,48000.0,14000.0,1
19.99,43000.0,14400.0,0
8.19,85000.0,20000.0,1
12.99,125000.0,15000.0,1
11.44,79000.0,21000.0,1
17.86,65000.0,19200.0,1
14.31,50000.0,10000.0,0
14.99,45000.0,10650.0,1
6.99,34000.0,1400.0,0
13.66,93000.0,25000.0,1
14.99,62000.0,5275.0,0
13.66,100000.0,10000.0,1
21.99,33000.0,10000.0,0
15.59,150000.0,15000.0,1
15.99,70000.0,6000.0,0
11.99,25000.0,2600.0,0
12.39,78750.0,8400.0,0
6.49,35000.0,4000.0,0
12.39,110000.0,21000.0,1
12.39,56715.0,14000.0,1
15.59,51000.0,8000.0,0
12.39,46000.0,12000.0,0
6.99,81420.0,18000.0,1
11.99,150000.0,12000.0,1
14.31,20748.0,2975.0,0
14.31,65000.0,24650.0,1
14.99,45000.0,5600.0,0
6.03,72000.0,21000.0,1
15.59,70000.0,10500.0,1
21.99,85000.0,15000.0,1
12.39,80000.0,16000.0,1
11.99,45000.0,5000.0,0
7.49,72000.0,10000.0,0
11.44,80000.0,8000.0,1
10.49,44000.0,10000.0,0
14.31,165000.0,28000.0,0
9.49,75000.0,6000.0,0
6.99,51000.0,7000.0,0
6.49,159000.0,5000.0,0
11.44,39520.0,8000.0,0
8.19,56000.0,15000.0,0
11.99,62000.0,12000.0,0
15.99,48000.0,4800.0,0
18.54,120000.0,20000.0,1
8.19,50000.0,7200.0,0
8.67,27000.0,3500.0,0
9.49,49000.0,4000.0,1
17.14,130000.0,35000.0,1
11.44,36000.0,5000.0,0
15.99,126000.0,21000.0,1
14.31,160000.0,23000.0,1
22.99,138000.0,35000.0,1
6.49,62400.0,20000.0,1
14.99,70000.0,30000.0,1
6.99,140000.0,15000.0,1
6.03,95000.0,28000.0,1
8.19,40000.0,8500.0,0
10.49,110000.0,12000.0,1
11.99,66347.0,12000.0,1
8.67,60000.0,16000.0,0
8.67,90000.0,7000.0,0
10.49,50000.0,5000.0,0
19.24,61000.0,30000.0,1
6.99,62000.0,3000.0,0
18.54,185000.0,4875.0,0
17.14,29132.0,7800.0,0
16.49,115000.0,32625.0,1
14.99,85000.0,10000.0,1
14.99,100000.0,16000.0,1
12.39,47099.0,14500.0,1
6.99,70000.0,8000.0,0
13.66,30000.0,2500.0,0
14.31,54000.0,19425.0,1
8.19,88000.0,3000.0,0
11.44,75000.0,16000.0,1
14.31,70000.0,20400.0,1
8.67,50000.0,10500.0,0
10.49,64000.0,2400.0,0
13.66,75000.0,6375.0,0
8.19,70000.0,9000.0,0
10.49,55000.0,8800.0,0
11.44,53000.0,15000.0,0
6.99,78000.0,18000.0,1
20.99,91000.0,27900.0,1
11.99,32000.0,8800.0,0
7.49,105000.0,18000.0,1
8.67,36000.0,12000.0,0
14.99,30000.0,4500.0,0
8.19,45000.0,15000.0,0
19.24,86940.0,27750.0,1
9.49,85000.0,9000.0,0
8.19,105000.0,26400.0,1
19.99,55000.0,16475.0,0
13.66,110000.0,20000.0,1
13.66,50000.0,9600.0,0
6.03,62000.0,18000.0,1
13.66,130000.0,29575.0,1
12.99,205271.0,35000.0,0
12.99,100000.0,18000.0,1
14.31,110000.0,35000.0,1
17.14,60000.0,8575.0,0
12.39,100000.0,35000.0,1
12.99,50000.0,10000.0,0
12.99,76000.0,10000.0,0
11.99,90000.0,15000.0,1
12.39,60000.0,28775.0,1
13.66,115000.0,18000.0,1
6.49,163000.0,15000.0,0
15.99,25920.0,9325.0,0
12.99,62000.0,5000.0,0
12.39,50000.0,8800.0,0
19.99,150850.0,35000.0,0
12.39,90780.0,35000.0,1
10.49,93500.0,25000.0,1
15.99,125000.0,35000.0,1
14.31,31000.0,10000.0,0
6.49,120000.0,12000.0,1
9.49,60000.0,20000.0,0
20.99,63000.0,31450.0,1
14.31,97000.0,27000.0,1
12.39,205196.0,20000.0,0
15.59,42000.0,2200.0,0
17.86,190000.0,21000.0,0
12.99,75000.0,13500.0,1
8.67,77000.0,27000.0,1
15.59,98000.0,1800.0,0
17.86,165000.0,11975.0,0
11.44,98500.0,5000.0,0
12.99,40000.0,7500.0,0
13.66,43000.0,14000.0,0
12.99,78000.0,10000.0,0
7.49,80000.0,15000.0,1
9.49,150000.0,33000.0,1
11.99,80000.0,15000.0,1
13.66,64000.0,2500.0,0
14.31,72000.0,16050.0,1
15.99,90000.0,35000.0,1
8.19,125000.0,28000.0,1
12.39,35000.0,7000.0,0
12.39,61000.0,6500.0,0
7.49,53200.0,15000.0,1
11.99,30000.0,6000.0,0
13.66,50000.0,17925.0,1
6.99,67000.0,20000.0,1
23.99,120000.0,35000.0,1
25.57,70000.0,12375.0,0
6.49,71000.0,12800.0,1
13.66,55000.0,16875.0,0
11.99,29000.0,7200.0,0
22.99,84000.0,12000.0,0
7.49,221527.0,15000.0,0
13.66,52000.0,5500.0,0
17.86,32000.0,9850.0,0
19.24,54000.0,13000.0,1
17.14,120000.0,35000.0,1
18.54,54600.0,11700.0,0
11.99,90000.0,10500.0,0
14.99,55000.0,16800.0,1
15.59,75000.0,20000.0,1
23.99,72800.0,25725.0,1
19.24,29162.0,14000.0,1
9.49,60000.0,24000.0,0
18.54,20000.0,4500.0,0
11.99,70000.0,20000.0,1
18.54,77000.0,5000.0,0
15.59,40000.0,16000.0,0
11.99,53000.0,16800.0,1
9.49,90000.0,15000.0,1
14.31,116000.0,20000.0,1
14.99,32000.0,6000.0,0
14.99,42000.0,20000.0,1
9.49,83200.0,6500.0,1
8.67,95000.0,20000.0,1
16.49,53000.0,22225.0,1
12.99,55000.0,24000.0,1
6.99,120000.0,19600.0,1
15.59,50000.0,6600.0,0
20.99,55000.0,10000.0,0
12.99,205480.0,20000.0,0
25.8,85000.0,32225.0,1
6.99,64000.0,4200.0,0
23.99,118000.0,30000.0,1
10.49,55000.0,10000.0,0
12.99,60000.0,12275.0,0
13.66,61000.0,5000.0,0
7.49,202453.0,35000.0,0
12.39,40000.0,12000.0,0
14.31,38400.0,10425.0,0
7.49,31930.0,3750.0,0
6.49,92000.0,16000.0,1
11.99,241114.0,35000.0,1
10.49,62000.0,15000.0,0
12.99,50000.0,2000.0,0
8.67,99000.0,8400.0,0
9.49,70000.0,35000.0,1
16.49,55000.0,5000.0,0
18.54,45600.0,15000.0,1
16.49,83000.0,2700.0,0
13.66,115535.0,16000.0,1
11.99,150000.0,21000.0,1
9.49,60000.0,20000.0,1
8.67,170000.0,35000.0,0
14.31,41000.0,10000.0,0
12.39,55000.0,10000.0,0
13.66,125000.0,35000.0,1
7.49,80000.0,16000.0,1
7.49,95000.0,16500.0,1
8.19,85000.0,1000.0,0
14.31,143000.0,4200.0,0
8.19,89500.0,12000.0,0
11.99,54000.0,10000.0,0
12.99,56000.0,12000.0,0
9.49,104000.0,7800.0,0
12.39,56000.0,8000.0,0
7.49,180000.0,12000.0,0
17.86,45500.0,3600.0,0
21.99,60000.0,20000.0,1
7.49,85000.0,19500.0,1
9.49,96000.0,7000.0,1
25.8,50000.0,18000.0,1
10.49,83500.0,20000.0,1
22.99,34415.0,11000.0,0
12.39,85000.0,15000.0,1
6.49,111180.0,15600.0,1
8.19,80000.0,4000.0,0
15.59,38000.0,4000.0,0
18.54,175000.0,35000.0,0
12.39,65000.0,8000.0,0
8.67,128000.0,8000.0,1
14.31,60000.0,19425.0,1
10.49,75000.0,7200.0,0
8.67,96000.0,18000.0,1
8.19,234521.0,32000.0,0
12.39,48000.0,14000.0,1
10.49,50000.0,12000.0,0
26.06,235998.0,15750.0,0
14.99,60000.0,5300.0,0
11.99,31000.0,10000.0,0
8.19,81000.0,14400.0,1
16.49,45000.0,19800.0,1
10.49,81000.0,6000.0,0
11.44,53000.0,3500.0,0
11.99,97500.0,6000.0,0
12.39,45000.0,15000.0,0
13.66,60000.0,15000.0,0
9.49,85000.0,35000.0,1
14.99,100000.0,20000.0,1
11.99,95000.0,12800.0,0
12.39,66000.0,20000.0,1
6.49,70000.0,25000.0,1
6.99,72000.0,1800.0,0
11.44,60000.0,17000.0,1
12.99,50000.0,9000.0,0
24.5,59700.0,20275.0,1
14.99,150000.0,20000.0,1
23.99,68000.0,20400.0,1
11.44,50000.0,11000.0,0
15.99,84000.0,2500.0,0
12.99,80000.0,14000.0,0
8.19,65000.0,15000.0,1
12.99,97500.0,30000.0,1
7.49,60000.0,9600.0,0
17.86,58000.0,3200.0,0
21.99,42000.0,10000.0,0
6.49,211845.0,25000.0,1
12.39,35000.0,15325.0,1
8.67,75000.0,8000.0,0
7.49,216352.0,24000.0,1
12.99,36000.0,5000.0,0
12.99,50000.0,1600.0,0
17.14,40000.0,10850.0,0
14.31,28500.0,4800.0,0
18.54,50000.0,14975.0,1
13.66,73000.0,17000.0,1
11.99,72600.0,25000.0,1
15.59,53000.0,12800.0,0
15.59,33500.0,2000.0,0
6.99,80000.0,7000.0,0
11.44,45000.0,12000.0,1
11.99,65000.0,3600.0,0
12.39,43000.0,6500.0,0
12.39,76000.0,6900.0,0
13.66,85000.0,10250.0,1
10.49,80000.0,15000.0,1
6.03,66500.0,7200.0,0
22.99,75000.0,18000.0,1
13.66,104000.0,35000.0,1
9.49,32608.0,2000.0,0
6.99,84400.0,6500.0,1
6.49,52000.0,8000.0,0
11.99,85000.0,27000.0,1
12.39,127500.0,35000.0,1
21.99,98500.0,35000.0,1
10.49,80937.0,21000.0,1
12.39,90000.0,10800.0,1
13.66,98000.0,21000.0,1
8.67,72000.0,35000.0,1
19.24,38000.0,15000.0,0
11.44,27414.0,12000.0,0
12.39,120000.0,10000.0,1
12.39,63000.0,15000.0,1
8.67,136000.0,10000.0,1
19.99,60000.0,13000.0,0
14.31,55000.0,8400.0,0
10.49,175000.0,25000.0,0
6.03,170000.0,18400.0,1
15.59,80000.0,12150.0,1
12.39,69000.0,15000.0,1
11.99,61000.0,4675.0,0
7.49,103000.0,1500.0,0
24.5,39000.0,11700.0,0
9.49,95000.0,35000.0,1
6.03,36500.0,10000.0,0
10.49,76000.0,15000.0,0
12.39,72000.0,8000.0,0
20.99,40000.0,10175.0,0
15.59,45000.0,12000.0,1
18.54,241635.0,35000.0,1
11.44,224356.0,16000.0,0
24.5,171000.0,28000.0,0
11.99,200959.0,30000.0,1
21.99,39000.0,19500.0,0
10.49,115000.0,12000.0,1
11.99,150000.0,35000.0,1
18.54,80000.0,23175.0,1
21.99,74500.0,18000.0,1
9.49,82000.0,7500.0,0
11.44,65000.0,5000.0,0
15.59,68000.0,16000.0,0
6.03,106400.0,12000.0,1
8.19,211838.0,20000.0,0
15.59,75000.0,25000.0,1
10.49,60000.0,15000.0,0
25.57,43000.0,15000.0,0
9.49,90000.0,10000.0,0
6.99,48000.0,14000.0,0
6.03,60321.0,14025.0,1
7.49,98543.0,14500.0,1
14.31,82500.0,23500.0,1
9.49,78000.0,12000.0,1
14.31,101000.0,12000.0,1
11.99,110000.0,35000.0,1
6.49,140000.0,5000.0,0
11.44,78000.0,15000.0,1
15.59,90000.0,15000.0,1
8.67,53500.0,13000.0,0
10.49,75000.0,15000.0,1
7.49,50000.0,2500.0,0
12.99,42000.0,5000.0,0
10.49,239058.0,21000.0,0
14.99,111000.0,35000.0,1
13.66,85000.0,24000.0,1
11.44,37000.0,6000.0,0
7.49,68000.0,8000.0,0
6.99,33100.0,10000.0,0
14.99,76000.0,2800.0,0
17.14,46000.0,16525.0,0
8.19,80000.0,6000.0,0
6.49,80000.0,16000.0,1
15.59,65000.0,11200.0,1
11.44,72000.0,1400.0,0
9.49,40000.0,7200.0,0
14.31,50000.0,10000.0,1
12.39,50000.0,16000.0,1
12.99,55369.0,14000.0,1
12.99,26000.0,6000.0,0
17.14,110000.0,35000.0,1
12.39,75000.0,10000.0,1
17.14,103584.0,35000.0,1
18.54,104000.0,25000.0,1
25.83,120406.0,35000.0,1
11.99,105000.0,15000.0,1
10.49,80000.0,10000.0,0
10.49,90000.0,10000.0,1
24.5,85000.0,12700.0,1
6.03,146816.0,25000.0,1
14.31,45000.0,12000.0,0
15.59,60000.0,11200.0,1
11.99,42000.0,6700.0,0
12.99,100000.0,30000.0,1
19.99,60000.0,22000.0,1
9.49,65000.0,10000.0,0
8.67,80000.0,3600.0,0
14.99,60000.0,13600.0,0
15.99,100000.0,35000.0,1
7.49,41000.0,7500.0,0
8.19,72000.0,7000.0,0
6.49,70000.0,6000.0,0
17.14,143000.0,20000.0,1
10.49,101500.0,5000.0,0
14.31,132000.0,35000.0,1
7.49,241895.0,28000.0,0
10.49,85000.0,14400.0,1
19.24,80000.0,4850.0,0
15.99,44000.0,12000.0,1
7.49,100000.0,22000.0,1
15.59,36000.0,4800.0,0
11.44,109000.0,10225.0,1
17.86,35000.0,15925.0,0
8.67,108000.0,14400.0,1
9.49,30000.0,6000.0,0
19.99,60000.0,19200.0,1
14.31,80000.0,25000.0,1
8.67,115000.0,6000.0,1
15.59,21840.0,3600.0,0
24.99,44000.0,12175.0,0
13.66,120000.0,5000.0,0
